assetId,ticker,isin,cusip,sedol,assetName,shortName,categoryCode,asset_class,riskCategory,liquidityProfile,taxTreatment,holdingPeriod,primaryExchange,tradingCurrency,lotSize,priceDecimals,tickSize,tradingStatus,primaryYieldType,primaryYieldPct,secondaryYieldType,secondaryYieldPct,dividendFrequency,exDividendDays,glAccountPattern,incomeGLPattern,unrealizedGLPattern,assetSpecificGL,maturityDate,couponRate,paymentFrequency,dayCountConvention,callableFlag,putFlag,dateCreated,createdBy
AST000101,ILMN,US4523271090,452327109,,Illumina Inc.,Illumina,EQ,EQ_1,Medium,High,Capital Gains/Dividend,Long-term,NASDAQ,USD,1,2,0.01,Active,Dividend,0.00,Capital Gain,,,,1201-ILMN,3001-ILMN,4001-ILMN,true,,,,,,2025-01-20,admin
AST000102,SMCI,US86800U3023,86800U302,B1VQR35,Super Micro Computer Inc.,Supermicro,EQ,EQ_1,High,High,Capital Gains/Dividend,Long-term,NASDAQ,USD,1,2,0.01,Active,Dividend,0.00,Capital Gain,,,,1201-SMCI,3001-SMCI,4001-SMCI,true,,,,,,2025-01-20,admin
AST000103,FLNC,US34379V1035,34379V103,,Fluence Energy Inc.,Fluence Energy,EQ,EQ_2,High,Medium,Capital Gains,Long-term,NASDAQ,USD,1,2,0.01,Active,Capital Gain,,,,,,1201-FLNC,3001-FLNC,4001-FLNC,true,,,,,,2025-01-20,admin
AST000104,HYLN,US4491091074,449109107,,Hyliion Holdings Corp.,Hyliion,EQ,EQ_2,High,Medium,Capital Gains,Long-term,NYSE,USD,1,2,0.01,Active,Capital Gain,,,,,,1201-HYLN,3001-HYLN,4001-HYLN,true,,,,,,2025-01-20,admin
AST000105,LHV1T,EE3100102203,,,AS LHV Group,LHV Group,EQ,FI_1,Medium,Medium,Capital Gains/Dividend,Long-term,TALLINN,EUR,1,2,0.01,Active,Dividend,1.50,Capital Gain,,Annual,2,1201-LHV1T,3001-LHV1T,4001-LHV1T,true,,,,,,2025-01-20,admin
